Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.apache.cxf.annotations.FactoryType.DEFAULT;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.interceptor.AbstractLoggingInterceptor;;0;0;0;1;1;0;1;0;0;0;0;6;16;0;0;0;0;25;5
org.apache.cxf.annotations.Policy.DEFAULT;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.cxf.annotations.WSDLDocumentation.DEFAULT;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.cxf.attachment.AttachmentDataSource;;0;0;0;0;0;1;0;0;1;0;0;2;4;0;0;0;0;8;4
org.apache.cxf.common.util.StringUtils;;0;0;0;1;1;1;0;0;0;0;0;5;12;1;0;0;1;22;7
org.apache.cxf.helpers.IOUtils;;1;0;0;1;0;0;0;0;0;0;0;16;25;1;0;0;0;44;5
org.apache.cxf.io.CacheSizeExceededException;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.cxf.io.CachedOutputStream;;1;0;0;1;0;0;1;0;0;0;0;21;35;3;0;0;0;62;6
org.apache.cxf.attachment.DelegatingInputStream;;0;0;0;0;0;1;0;0;1;0;0;1;5;0;0;0;0;8;4
org.apache.cxf.attachment.AttachmentUtil;;1;0;1;1;0;0;0;0;0;0;0;12;17;1;0;0;0;33;6
org.apache.cxf.attachment.AttachmentDeserializer;;1;0;0;1;0;0;1;0;0;0;0;12;16;2;0;0;0;33;6
org.apache.cxf.common.logging.LogUtils;;0;0;1;1;0;0;1;0;0;0;0;9;15;0;0;0;1;28;6
org.apache.cxf.common.util.SystemPropertyAction;;0;0;0;0;0;1;0;0;0;0;0;3;7;2;0;0;1;14;5
org.apache.cxf.helpers.HttpHeaderHelper;;0;0;0;1;0;1;1;0;0;0;0;2;5;0;0;0;0;10;5
org.apache.cxf.message.MessageUtils;;0;0;0;1;0;0;0;0;0;0;0;10;12;1;0;0;0;24;4
org.apache.cxf.attachment.LazyAttachmentCollection;;0;0;0;1;0;1;0;0;1;0;0;3;7;0;0;0;0;13;5
org.apache.cxf.attachment.MimeBodyPartInputStream;;0;0;1;1;0;0;0;0;0;0;0;5;5;0;0;0;0;12;4
org.apache.cxf.attachment.AttachmentImpl;;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;6;2
org.apache.cxf.attachment.HeaderSizeExceededException;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.cxf.attachment.AttachmentSerializer;;1;0;1;1;0;0;1;0;1;0;0;6;12;0;0;0;0;23;7
org.apache.cxf.common.util.Base64Utility;;1;0;1;1;0;0;0;0;0;0;0;9;16;0;0;0;1;29;6
org.apache.cxf.attachment.AttachmentUtil.DHMap;;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;2
org.apache.cxf.attachment.AttachmentUtil.EnhancedMailcapCommandMap;;0;0;0;0;0;1;0;0;0;0;0;5;2;0;0;0;0;8;3
org.apache.cxf.helpers.FileUtils;;1;0;0;1;0;0;1;0;0;0;0;13;14;0;0;0;0;30;5
org.apache.cxf.interceptor.Fault;;0;0;0;1;1;1;1;0;0;0;0;2;13;0;0;0;0;19;6
org.apache.cxf.attachment.ByteDataSource;;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;5;3
org.apache.cxf.attachment.ContentDisposition;;0;0;1;1;0;1;0;0;0;0;0;1;2;0;0;0;0;6;5
org.apache.cxf.attachment.ImageDataContentHandler;;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;7;3
org.apache.cxf.attachment.Base64DecoderStream;;0;0;0;1;0;1;1;0;0;0;0;3;7;0;0;0;0;13;5
org.apache.cxf.attachment.QuotedPrintableDecoderStream;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2
org.apache.cxf.attachment.LazyDataSource;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
org.apache.cxf.common.util.Base64Exception;;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;4;4
org.apache.cxf.attachment.Rfc5987Util;;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;5;3
org.apache.cxf.attachment.LazyAttachmentCollection.LazyAttachmentMap;;0;0;0;1;0;1;0;0;0;0;0;7;1;0;0;0;0;10;4
org.apache.cxf.binding.AbstractBindingFactory;;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;6;3
org.apache.cxf.service.model.BindingInfo;;0;0;0;1;0;1;1;0;0;0;0;3;11;0;0;0;0;17;5
org.apache.cxf.service.model.ServiceInfo;;0;0;0;1;1;1;1;0;0;0;0;4;12;1;0;0;0;21;7
org.apache.cxf.transport.ChainInitiationObserver;;0;0;0;1;0;1;0;0;0;0;0;4;5;0;0;0;0;11;4
org.apache.cxf.binding.BindingConfiguration;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.BusException;;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;3
org.apache.cxf.bus.CXFBusFactory;;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;5;5
org.apache.cxf.BusFactory;;0;0;1;1;0;0;1;0;0;0;0;10;12;0;0;0;0;25;5
org.apache.cxf.bus.extension.ExtensionManagerBus;;1;0;0;1;1;0;1;0;0;0;0;8;18;0;0;2;0;32;7
org.apache.cxf.bus.extension.Extension;;0;0;1;1;0;0;1;0;1;0;0;6;16;0;0;2;0;28;7
org.apache.cxf.common.i18n.Message;;0;0;0;0;0;1;0;0;0;0;0;1;4;3;0;0;1;10;5
org.apache.cxf.bus.extension.ExtensionException;;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;5;4
org.apache.cxf.common.i18n.UncheckedException;;0;0;0;0;0;1;0;0;0;0;0;0;7;1;0;0;1;10;4
org.apache.cxf.bus.managers.BindingFactoryManagerImpl;;0;0;0;1;0;1;0;0;0;0;0;4;6;0;0;1;0;13;5
org.apache.cxf.bus.managers.ConduitInitiatorManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;1;0;7;4
org.apache.cxf.bus.managers.DestinationFactoryManagerImpl;;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;1;0;7;4
org.apache.cxf.configuration.NullConfigurer;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.interceptor.AbstractBasicInterceptorProvider;;0;0;0;0;0;1;1;0;1;0;0;0;6;0;0;0;0;9;4
org.apache.cxf.resource.DefaultResourceManager;;0;0;0;1;0;1;0;0;1;0;0;2;8;0;0;0;0;13;5
org.apache.cxf.resource.ObjectTypeResolver;;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;5;4
org.apache.cxf.resource.PropertiesResolver;;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;4;4
