path;extra.metadata.source;extra.metadata.cwe.0;extra.metadata.owasp.0;extra.metadata.references.0;extra.metadata.vulnerability_class.0
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/bus/spring/SpringBeanLocator.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/bus/spring/SpringBeanLocator.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/bus/spring/TunedDocumentLoader.java;https://semgrep.dev/r/java.lang.security.xxe.xmlreader-xxe-parameter-entities.xmlreader-xxe-parameter-entities;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/bus/spring/TunedDocumentLoader.java;https://semgrep.dev/r/java.lang.security.xxe.xmlreader-xxe.xmlreader-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/common/injection/ResourceInjector.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/common/jaxb/JAXBContextCache.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/common/logging/JDKBugHacks.java;https://semgrep.dev/r/java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/common/util/Compiler.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/common/util/URIParserUtil.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/databinding/AbstractWrapperHelper.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/databinding/source/XMLStreamDataWriter.java;https://semgrep.dev/r/java.lang.security.xxe.validator-xxe.validator-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/databinding/source/XMLStreamDataWriter.java;https://semgrep.dev/r/java.lang.security.xxe.validator-xxe.validator-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/databinding/source/XMLStreamDataWriter.java;https://semgrep.dev/r/java.lang.security.xxe.validator-xxe.validator-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/interceptor/security/SecureAnnotationsInterceptor.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/staxutils/W3CDOMStreamReader.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/staxutils/W3CDOMStreamWriter.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/ws/addressing/EndpointReferenceUtils.java;https://semgrep.dev/r/java.lang.security.xxe.schemafactory-xxe-schema.schemafactory-xxe-schema;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/core/src/main/java/org/apache/cxf/ws/addressing/EndpointReferenceUtils.java;https://semgrep.dev/r/java.lang.security.xxe.schemafactory-xxe.schemafactory-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/aegis/src/main/java/demo/hw/server/HelloWorldImpl.java;https://semgrep.dev/r/java.lang.security.xxe.documentbuilderfactory-xxe-parameter-entity.documentbuilderfactory-xxe-parameter-entity;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/aegis/src/main/java/demo/hw/server/HelloWorldImpl.java;https://semgrep.dev/r/java.lang.security.xxe.documentbuilderfactory-xxe.documentbuilderfactory-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/aegis/src/main/java/demo/hw/server/HelloWorldImpl.java;https://semgrep.dev/r/java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/callback/src/main/java/demo/callback/server/ServerImpl.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/configuration_interceptor/src/main/java/demo/stream/interceptor/StreamInterceptor.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/configuration_interceptor/src/main/java/demo/stream/interceptor/StreamInterceptor.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/bank_ws_addressing/src/main/java/corba/client/Client.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/bank_ws_addressing/src/main/java/corba/client/Client.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/bank_ws_addressing/src/main/java/corba/server/Server.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/bank_ws_addressing/src/main/java/corba/server/Server.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/hello_world/src/main/java/corba/client/Client.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/hello_world/src/main/java/corba/client/Client.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/hello_world/src/main/java/corba/server/Server.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/corba/hello_world/src/main/java/corba/server/Server.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
apache-cxf-4.0.2-src/distribution/src/main/release/samples/in_jvm_transport/src/main/java/demo/colocated/client/DispatchSourceClient.java;https://semgrep.dev/r/java.lang.security.audit.xxe.transformerfactory-dtds-not-disabled.transformerfactory-dtds-not-disabled;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/in_jvm_transport/src/main/java/demo/colocated/client/DispatchSourceClient.java;https://semgrep.dev/r/java.lang.security.xxe.saxtransformerfactory-xxe-stylesheet.saxtransformerfactory-xxe-stylesheet;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/in_jvm_transport/src/main/java/demo/colocated/client/DispatchSourceClient.java;https://semgrep.dev/r/java.lang.security.xxe.saxtransformerfactory-xxe.saxtransformerfactory-xxe;CWE-611: Improper Restriction of XML External Entity Reference;A04:2017 - XML External Entities (XXE);https://semgrep.dev/blog/2022/xml-security-in-java;XML Injection
apache-cxf-4.0.2-src/distribution/src/main/release/samples/jax_rs/content_negotiation/src/main/java/demo/jaxrs/client/Client.java;https://semgrep.dev/r/problem-based-packs.insecure-transport.java-stdlib.httpget-http-request.httpget-http-request;None;None;https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/net/URLConnection.html;Mishandled Sensitive Information
apache-cxf-4.0.2-src/distribution/src/main/release/samples/jax_rs/content_negotiation/src/main/java/demo/jaxrs/client/Client.java;https://semgrep.dev/r/problem-based-packs.insecure-transport.java-stdlib.httpget-http-request.httpget-http-request;None;None;https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/net/URLConnection.html;Mishandled Sensitive Information
