Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
hudson.cli.CLI;;1;0;1;1;0;0;0;0;0;1;0;6;9;0;0;0;0;19;6
hudson.cli.CLI.ClientSideImpl;;0;0;0;0;0;0;1;0;1;0;0;1;5;0;0;0;0;8;4
hudson.cli.CLI.NotTalkingToJenkinsException;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.cli.CLI.webSocketConnection.Authenticator;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
hudson.cli.CLI.webSocketConnection.CLIEndpoint;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.cli.CLIConnectionFactory;;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;5;3
hudson.cli.PrivateKeyProvider;;0;0;0;0;0;1;0;0;0;0;0;4;6;0;0;0;0;11;3
hudson.cli.FullDuplexHttpStream;;0;0;0;0;0;1;0;0;0;1;0;2;3;0;0;0;0;7;4
hudson.cli.PlainCLIProtocol;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.cli.SSHCLI;;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;2
hudson.cli.NoCheckTrustManager;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
hudson.cli.PlainCLIProtocol.EitherSide;;0;0;0;0;0;0;0;0;1;0;0;2;8;0;0;0;0;11;3
hudson.cli.PlainCLIProtocol.FramedOutput;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
hudson.cli.PlainCLIProtocol.FramedReader;;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;4;3
hudson.cli.PlainCLIProtocol.ClientSide;;0;0;0;0;0;1;0;0;0;0;0;1;7;0;0;0;0;9;3
