Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.apache.kafka.clients.admin.AbortTransactionOptions;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.common.annotation.InterfaceStability;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.kafka.clients.admin.AbstractOptions;;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;4;3
org.apache.kafka.clients.admin.AbortTransactionResult;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.common.KafkaFuture;;0;0;0;0;0;1;0;0;0;0;1;1;8;5;0;1;1;18;7
org.apache.kafka.common.TopicPartition;;0;0;0;0;0;1;0;0;0;0;0;2;6;4;0;1;1;15;6
org.apache.kafka.clients.admin.AbortTransactionSpec;;0;0;0;0;0;1;0;0;0;0;0;3;3;1;0;0;0;8;4
org.apache.kafka.clients.admin.AddRaftVoterOptions;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.kafka.clients.admin.AddRaftVoterResult;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.consumer.OffsetAndMetadata;;0;0;0;0;0;1;0;0;0;0;0;2;5;4;0;1;0;13;5
org.apache.kafka.common.KafkaException;;0;0;0;0;0;1;0;0;0;0;0;0;4;4;0;1;1;11;5
org.apache.kafka.common.MetricName;;0;0;0;0;0;1;0;0;0;0;0;2;5;1;0;1;1;11;6
org.apache.kafka.common.TopicCollection;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;3
org.apache.kafka.common.TopicPartitionReplica;;0;0;0;0;0;1;0;0;0;0;0;2;4;0;0;1;1;9;5
org.apache.kafka.common.Uuid;;0;0;0;0;0;1;0;0;0;0;0;2;5;4;0;1;1;14;6
org.apache.kafka.common.acl.AclBinding;;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;5;3
org.apache.kafka.common.acl.AclBindingFilter;;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3;2
org.apache.kafka.common.config.ConfigResource;;0;0;0;0;0;1;0;0;0;0;0;1;3;1;0;0;1;7;5
org.apache.kafka.common.errors.FeatureUpdateFailedException;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.common.errors.InterruptException;;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3;2
org.apache.kafka.common.quota.ClientQuotaAlteration;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;2
org.apache.kafka.common.quota.ClientQuotaFilter;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.common.requests.LeaveGroupResponse;;0;0;0;1;0;1;0;0;0;0;0;4;4;1;0;0;0;11;5
org.apache.kafka.clients.admin.AlterClientQuotasResult;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.AlterClientQuotasOptions;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.AlterConfigsResult;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
org.apache.kafka.clients.admin.AlterConfigsOptions;;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.AlterConsumerGroupOffsetsResult;;0;0;0;0;0;0;0;0;1;0;1;2;2;0;0;0;0;6;4
org.apache.kafka.clients.admin.AlterConsumerGroupOffsetsOptions;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.kafka.clients.admin.AlterPartitionReassignmentsResult;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.AlterPartitionReassignmentsOptions;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.kafka.clients.admin.AlterReplicaLogDirsResult;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
org.apache.kafka.clients.admin.AlterReplicaLogDirsOptions;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.kafka.clients.admin.AlterUserScramCredentialsResult;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.AlterUserScramCredentialsOptions;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.kafka.clients.admin.CreateAclsResult;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.CreateAclsOptions;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.CreateDelegationTokenResult;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.CreateDelegationTokenOptions;;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.CreatePartitionsResult;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.CreatePartitionsOptions;;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.CreateTopicsResult;;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;4;3
org.apache.kafka.clients.admin.CreateTopicsOptions;;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.DeleteAclsResult;;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;2
org.apache.kafka.clients.admin.DeleteAclsOptions;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.kafka.clients.admin.DeleteConsumerGroupOffsetsResult;;0;0;0;0;0;0;0;0;1;0;1;3;3;1;0;0;0;9;5
