path;extra.metadata.source;extra.metadata.cwe.0;extra.metadata.owasp.0;extra.metadata.references.0;extra.metadata.vulnerability_class.0
clients/src/main/java/org/apache/kafka/common/utils/Utils.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractHerder.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/errors/DeadLetterQueueReporter.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
examples/src/main/java/kafka/examples/Consumer.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
examples/src/main/java/kafka/examples/ExactlyOnceMessageProcessor.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
examples/src/main/java/kafka/examples/KafkaConsumerProducerDemo.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
examples/src/main/java/kafka/examples/KafkaExactlyOnceDemo.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
examples/src/main/java/kafka/examples/Producer.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
shell/src/main/java/org/apache/kafka/shell/MetadataShell.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
streams/examples/src/main/java/org/apache/kafka/streams/examples/pageview/PageViewTypedDemo.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamTask.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
streams/src/main/java/org/apache/kafka/streams/processor/internals/namedtopology/KafkaStreamsNamedTopologyWrapper.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
streams/src/main/java/org/apache/kafka/streams/processor/internals/namedtopology/KafkaStreamsNamedTopologyWrapper.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
streams/src/main/java/org/apache/kafka/streams/state/internals/StoreQueryUtils.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/ClientCompatibilityTest.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/JmxTool.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/OAuthCompatibilityTool.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/ProducerPerformance.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/StreamsResetter.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/StreamsResetter.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
tools/src/main/java/org/apache/kafka/tools/consumer/group/ConsumerGroupCommand.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
trogdor/src/main/java/org/apache/kafka/trogdor/agent/Agent.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
trogdor/src/main/java/org/apache/kafka/trogdor/agent/Agent.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
trogdor/src/main/java/org/apache/kafka/trogdor/agent/Agent.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
trogdor/src/main/java/org/apache/kafka/trogdor/coordinator/CoordinatorClient.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
