Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.apache.lucene.gradle.Checksum;;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;0;5;4
org.apache.lucene.gradle.ErrorReportingTestListener;;0;0;1;1;0;1;1;0;0;0;0;2;4;0;0;0;0;10;6
org.apache.lucene.gradle.ErrorReportingTestListener.OutputHandler;;0;0;0;0;0;1;0;0;0;0;0;2;4;0;0;0;0;7;3
org.apache.lucene.gradle.ErrorReportingTestListener.TestKey;;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;3
org.apache.lucene.gradle.SpillWriter;;0;0;0;1;0;1;1;0;0;0;0;2;5;0;0;0;0;10;5
org.apache.lucene.gradle.PrefixedWriter;;0;1;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;6;4
org.apache.lucene.gradle.StdOutTeeWriter;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;4;2
org.apache.lucene.gradle.GradlePropertiesGenerator;;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;5;3
org.apache.lucene.gradle.ProfileResults;;0;0;1;1;0;0;0;0;0;0;0;4;3;0;0;0;0;9;4
org.apache.lucene.gradle.WrapperDownloader;;0;0;1;1;0;1;0;0;0;0;0;3;3;0;0;0;0;9;5
org.apache.lucene.missingdoclet.MissingDoclet;dev;0;0;1;0;0;0;1;0;0;0;0;7;8;0;0;0;0;17;4
org.apache.solr.client.api.model.AddReplicaPropertyRequestBody;;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.solr.client.api.model.SolrJerseyResponse;;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
org.apache.solr.client.api.model.GetAliasPropertyResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.GetAllAliasPropertiesResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.UpdateAliasPropertiesRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.UpdateAliasPropertyRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.BalanceReplicasRequestBody;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.solr.client.api.model.BalanceShardUniqueRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.SubResponseAccumulatingJerseyResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.UploadToFileStoreResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.util.Constants;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.solr.client.api.model.UpdateCollectionPropertyRequestBody;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.solr.client.api.model.CreateCoreSnapshotResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.DeleteSnapshotResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.ListCoreSnapshotsResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.CreateCollectionRequestBody;;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
org.apache.solr.client.api.model.CreateCollectionBackupRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.CreateCollectionSnapshotRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.CreateCollectionSnapshotResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.CreateCoreBackupRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.CreateReplicaRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.CreateShardRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.BackupDeletionResponseBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.PurgeUnusedFilesRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.PurgeUnusedResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.Constants;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.solr.client.api.model.DeleteCollectionSnapshotResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.DeleteNodeRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.ScaleCollectionRequestBody;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.GetNodeCommandStatusResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.PublicKeyResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.SchemaInfoResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.SchemaNameResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.solr.client.api.model.SchemaSimilarityResponse;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
