Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.springframework.build.CheckstyleConventions;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2
org.springframework.build.ConventionsPlugin;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.build.JavaConventions;;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;4;3
org.springframework.build.KotlinConventions;;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.build.TestConventions;;0;0;0;1;0;0;0;0;0;0;0;3;5;0;0;0;0;9;3
org.springframework.build.dev.LocalDevelopmentPlugin;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2
org.springframework.build.hint.RuntimeHintsAgentPlugin;;0;0;0;1;0;0;0;0;0;0;0;3;3;0;0;0;0;7;3
org.springframework.build.optional.OptionalDependenciesPlugin;;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.build.shadow.ShadowSource;;0;0;0;1;0;1;1;0;0;0;0;3;2;0;0;0;0;8;5
org.springframework.build.shadow.ShadowSource.Relocation;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;4;2
org.springframework.docs.core.aop.aopajltwspring.ApplicationConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aop.aopajltwspring.CustomWeaverConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.core.aop.aopatconfigurable.ApplicationConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aop.ataspectj.aopaspectjsupport.ApplicationConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aop.ataspectj.aopataspectj.ApplicationConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.core.aop.ataspectj.aopataspectj.NotVeryUsefulAspect;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aop.ataspectj.aopataspectjexample.ApplicationConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.core.aop.ataspectj.aopataspectjexample.ConcurrentOperationExecutor;framework;0;0;0;1;0;1;0;0;0;0;0;1;3;0;0;0;0;6;4
org.springframework.docs.core.aop.ataspectj.aopataspectjexample.service.SampleService;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.core.aopapi.aopapipointcutsregex.JdkRegexpConfiguration;framework;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
org.springframework.docs.core.aopapi.aopapipointcutsregex.RegexpConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.core.aot.hints.importruntimehints.SpellCheckService;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.core.aot.hints.importruntimehints.SpellCheckService.SpellCheckServiceRuntimeHints;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.core.aot.hints.reflective.MyConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aot.hints.registerreflection.AccountService;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aot.hints.registerreflection.MyConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aot.hints.registerreflection.Order;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aot.hints.registerreflection.OrderService;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.springframework.docs.core.aot.hints.testing.SampleReflection;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.core.aot.hints.testing.SampleReflectionRuntimeHintsTests;framework;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.springframework.docs.core.aot.hints.testing.SpellCheckServiceTests;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.core.aot.hints.testing.SpellCheckServiceTests.SpellCheckServiceRuntimeHints;framework;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
org.springframework.docs.core.aot.refresh.AotProcessingSample;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.core.aot.refresh.AotProcessingSample.ContainerConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aot.refresh.AotProcessingSample.DataSourceConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.aot.refresh.AotProcessingSample.MyApplication;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.beans.dependencies.beansfactorylazyinit.AnotherBean;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.beans.dependencies.beansfactorylazyinit.ApplicationConfiguration;framework;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.springframework.docs.core.beans.dependencies.beansfactorylazyinit.ExpensiveToCreateBean;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.beans.dependencies.beansfactorylazyinit.LazyConfiguration;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.CustomerPreferenceDao;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.FieldValueTestBean;framework;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.springframework.docs.core.expressions.expressionsbeandef.MovieFinder;framework;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
