Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
javax.el.ArrayELResolver;;0;0;0;0;1;1;0;0;1;0;0;5;4;0;0;0;1;13;6
javax.el.ELResolver;;0;0;0;0;0;1;0;0;0;0;0;0;6;1;0;0;1;9;4
javax.el.ELContext;;0;0;0;1;0;1;1;0;0;0;0;4;20;6;0;0;1;34;7
javax.el.Util;;1;0;1;1;1;0;0;0;0;0;0;12;13;2;0;0;1;32;8
javax.el.PropertyNotWritableException;;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;5;5
javax.el.PropertyNotFoundException;;0;1;0;0;0;1;0;0;0;0;0;0;2;1;0;0;1;6;5
javax.el.BeanELResolver;;0;0;0;1;1;1;1;0;0;0;0;5;6;0;0;0;1;16;7
javax.el.BeanELResolver.BeanProperties;;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;1;6;3
javax.el.BeanELResolver.BeanProperty;;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;1;7;3
javax.el.BeanELResolver.ConcurrentCache;;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;4;3
javax.el.ExpressionFactory;;0;0;1;1;1;1;0;0;0;0;0;4;4;0;0;0;1;13;7
javax.el.ELException;;0;1;0;0;0;1;0;0;0;0;0;0;3;2;0;0;1;8;5
javax.el.ELManager;;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;1;5;4
javax.el.BeanNameELResolver;;0;0;0;0;0;1;0;0;0;0;0;4;5;0;0;0;1;11;4
javax.el.BeanNameResolver;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;3;3
javax.el.CompositeELResolver;;0;0;0;1;1;1;0;0;0;0;0;8;9;0;0;0;1;21;6
